DynamicHysteresisResult

Table 1
Table No [#]	Vc+ [V]	Vc- [V]	Pr+ [uC/cm2]	Pr- [uC/cm2]	Prrel+ [uC/cm2]	Prrel- [uC/cm2]	Psw [uC/cm2]	Pnsw [uC/cm2]	dPsw [uC/cm2]	Wloss [uJ/cm2]	VcShift [V]	Rav [Ohm]	Cls [F]	Epsls [1]	Measurement Status []	Vmax+ [V]	Vmax- [V]	Pvmax+ [uC/cm2]	Pvmax- [uC/cm2]	Ipk+ [A]	Ipk- [A]	Hysteresis Frequency [Hz]	Hysteresis Amplitude [V]	Current Range []	Averages []	
1.000000e+000	1.887090e+002	-1.858090e+002	2.959000e-001	-3.013730e-001	2.190330e-001	-2.151130e-001	7.747650e-001	3.406190e-001	4.341460e-001	3.410640e+002	1.450060e+000	3.157350e+006	9.394090e-010	3.176180e+003	0.000000e+000	5.042670e+002	-4.989070e+002	5.596520e-001	-5.596520e-001	3.373550e-004	-3.434300e-004	1.000000e+002	5.000000e+002	5.000000e+000	1.000000e+000	
2.000000e+000	1.849820e+002	-1.914890e+002	2.372020e-001	-3.466340e-001	1.510190e-001	-1.011300e-001	4.880020e-001	2.358530e-001	2.521490e-001	2.783310e+002	-3.253780e+000	3.273820e+005	6.740420e-010	2.278960e+003	0.000000e+000	3.804850e+002	-4.119960e+002	3.868720e-001	-3.868720e-001	2.235410e-003	-2.352640e-003	1.000000e+003	5.000000e+002	4.000000e+000	1.000000e+000	
3.000000e+000	1.720340e+002	-1.716800e+002	3.053230e-001	-2.984790e-001	2.454170e-001	-2.368080e-001	8.390880e-001	3.568640e-001	4.822240e-001	3.402340e+002	1.766510e-001	3.125110e+007	1.036580e-009	3.504720e+003	0.000000e+000	5.020460e+002	-4.971570e+002	6.022810e-001	-6.022810e-001	3.689000e-005	-3.675320e-005	1.000000e+001	5.000000e+002	6.000000e+000	1.000000e+000	
4.000000e+000	1.701350e+002	-1.689060e+002	3.406390e-001	-3.327350e-001	2.944530e-001	-2.836550e-001	9.458410e-001	3.677330e-001	5.781070e-001	3.788670e+002	6.146670e-001	2.806040e+008	1.147450e-009	3.879580e+003	0.000000e+000	5.004330e+002	-4.958650e+002	6.621860e-001	-6.621860e-001	4.286540e-006	-4.266760e-006	1.000000e+000	5.000000e+002	7.000000e+000	1.000000e+000	

DynamicHysteresis
Program: aixPlorer Software version 3.0.63.0
TimeStamp: 02/15/2024 15:10:48
TfaModule: DHM
ProgramMode: 0
TfaFileType: data
BasicUnit: BU624-1
TfaVersion: 4.7.0

Table 1
Timestamp: 02/15/2024 15:13:37
TableVersion: 4.7.0
Monitoring: YES
Averages: 1
Settings: PSW HV MON
Waveform: triangle
SampleName: G1_BTO_500V_100Hz
Area [mm2]: 78.5
Thickness [nm]: 2.35e+006
Number Of Ceramic Layers: 1
Current Range: 5 (1mA)
Hysteresis Frequency [Hz]: 100
Hysteresis Amplitude [V]: 500
Cls [F]: 9.39409e-010
Epsls [1]: 3176.18
Vc+ [V]: 188.709
Vc- [V]: -185.809
Pr+ [uC/cm2]: 0.2959
Pr- [uC/cm2]: -0.301373
Prrel+ [uC/cm2]: 0.219033
Prrel- [uC/cm2]: -0.215113
Wloss [uJ/cm2]: 341.064
VcShift [V]: 1.45006
Vmax+ [V]: 504.267
Vmax- [V]: -498.907
Pvmax+ [uC/cm2]: 0.559652
Pvmax- [uC/cm2]: -0.559652
Ipk+ [A]: 0.000337355
Ipk- [A]: -0.00034343
Psw [uC/cm2]: 0.774765
Pnsw [uC/cm2]: 0.340619
dPsw [uC/cm2]: 0.434146
Rav [Ohm]: 3.15735e+006
Basic System: TFAnalyzer 2000 E
Measure Head: FE 568-2
MeasureHal Profile: default
Program Version: 3.0.63.0
Operator: Unknown
HV Amplifier: TREK 610E 10kV
Interferometer: SIOS
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V+ [V]	V- [V]	I1 [A]	P1 [uC/cm2]	I2 [A]	P2 [uC/cm2]	I3 [A]	P3 [uC/cm2]	
9.875000e-004	-2.462172e+002	2.784873e+002	5.651110e-004	-3.582011e-001	5.651110e-004	-3.724748e-001	-6.179258e-004	3.667587e-001	
9.900000e-004	-2.427424e+002	2.756910e+002	5.777429e-004	-3.563812e-001	5.777429e-004	-3.706550e-001	-6.340612e-004	3.647651e-001	
9.925000e-004	-2.345727e+002	2.646564e+002	5.911617e-004	-3.545199e-001	5.911617e-004	-3.687936e-001	-6.511477e-004	3.627186e-001	
9.950000e-004	-2.296105e+002	2.578506e+002	6.044094e-004	-3.526161e-001	6.044094e-004	-3.668899e-001	-6.662567e-004	3.606208e-001	
9.975000e-004	-2.254571e+002	2.515177e+002	6.119707e-004	-3.506792e-001	6.119707e-004	-3.649530e-001	-6.765688e-004	3.584825e-001	
1.000000e-003	-2.211393e+002	2.495644e+002	6.388768e-004	-3.486874e-001	6.388768e-004	-3.629612e-001	-7.080322e-004	3.562778e-001	

Table 3
Timestamp: 02/15/2024 15:16:04
TableVersion: 4.7.0
Monitoring: YES
Averages: 1
Settings: PSW HV MON
Waveform: triangle
SampleName: G1_BTO_500V_10Hz
Area [mm2]: 78.5
Thickness [nm]: 2.35e+006
Number Of Ceramic Layers: 1
Current Range: 6 (100uA)
Hysteresis Frequency [Hz]: 10
Hysteresis Amplitude [V]: 500
Cls [F]: 1.03658e-009
Epsls [1]: 3504.72
Vc+ [V]: 172.034
Vc- [V]: -171.68
Pr+ [uC/cm2]: 0.305323
Pr- [uC/cm2]: -0.298479
Prrel+ [uC/cm2]: 0.245417
Prrel- [uC/cm2]: -0.236808
Wloss [uJ/cm2]: 340.234
VcShift [V]: 0.176651
Vmax+ [V]: 502.046
Vmax- [V]: -497.157
Pvmax+ [uC/cm2]: 0.602281
Pvmax- [uC/cm2]: -0.602281
Ipk+ [A]: 3.689e-005
Ipk- [A]: -3.67532e-005
Psw [uC/cm2]: 0.839088
Pnsw [uC/cm2]: 0.356864
dPsw [uC/cm2]: 0.482224
Rav [Ohm]: 3.12511e+007
Basic System: TFAnalyzer 2000 E
Measure Head: FE 568-2
MeasureHal Profile: default
Program Version: 3.0.63.0
Operator: Unknown
HV Amplifier: TREK 610E 10kV
Interferometer: SIOS
Measurement Topology: electrical 3, strain 3
Measurement Status: 0
Time [s]	V+ [V]	V- [V]	I1 [A]	P1 [uC/cm2]	I2 [A]	P2 [uC/cm2]	I3 [A]	P3 [uC/cm2]	
0.000000e+000	3.319123e+000	6.554934e-001	2.185596e-005	-2.984795e-001	2.663832e-006	-2.368075e-001	-3.086967e-006	2.454168e-001	
2.500000e-004	8.379773e+000	-4.110905e+000	2.209296e-005	-2.914813e-001	4.898399e-006	-2.356033e-001	-4.995830e-006	2.441297e-001	
5.000000e-004	1.353841e+001	-9.370448e+000	2.261034e-005	-2.843629e-001	5.616784e-006	-2.339289e-001	-5.740138e-006	2.424201e-001	
7.500000e-004	1.854224e+001	-1.436508e+001	2.264929e-005	-2.771560e-001	6.716864e-006	-2.319650e-001	-6.789644e-006	2.404250e-001	
1.000000e-003	2.360483e+001	-1.931859e+001	2.302233e-005	-2.698834e-001	7.907966e-006	-2.296362e-001	-7.967004e-006	2.380752e-001	
1.250000e-003	2.877088e+001	-2.435155e+001	2.333710e-005	-2.625013e-001	9.228588e-006	-2.269074e-001	-9.140526e-006	2.353510e-001	
1.500000e-003	3.392696e+001	-2.907923e+001	2.374518e-005	-2.550041e-001	1.076153e-005	-2.237243e-001	-1.035193e-005	2.322472e-001	
1.750000e-003	3.895583e+001	-3.413109e+001	2.400725e-005	-2.474003e-001	1.239970e-005	-2.200362e-001	-1.205650e-005	2.286789e-001	
2.000000e-003	4.393258e+001	-3.917478e+001	2.419988e-005	-2.397240e-001	1.356234e-005	-2.159021e-001	-1.326920e-005	2.246462e-001	
2.250000e-003	4.881814e+001	-4.411193e+001	2.445222e-005	-2.319768e-001	1.491786e-005	-2.113671e-001	-1.480123e-005	2.201764e-001	
2.500000e-003	5.391726e+001	-4.891294e+001	2.516513e-005	-2.240760e-001	1.641803e-005	-2.063773e-001	-1.619280e-005	2.152410e-001	
2.750000e-003	5.853689e+001	-5.375634e+001	2.549496e-005	-2.160091e-001	1.795897e-005	-2.009032e-001	-1.813705e-005	2.097745e-001	
3.000000e-003	6.376577e+001	-5.896837e+001	2.601516e-005	-2.078068e-001	1.889581e-005	-1.950346e-001	-1.942281e-005	2.037936e-001	
3.250000e-003	6.873997e+001	-6.425601e+001	2.638465e-005	-1.994629e-001	2.029771e-005	-1.887936e-001	-2.060212e-005	1.974202e-001	
3.500000e-003	7.347200e+001	-6.918960e+001	2.687958e-005	-1.909813e-001	2.148678e-005	-1.821400e-001	-2.154321e-005	1.907092e-001	
3.750000e-003	7.858568e+001	-7.425474e+001	2.704359e-005	-1.823948e-001	2.273600e-005	-1.750982e-001	-2.287282e-005	1.836365e-001	
4.000000e-003	8.329395e+001	-7.930813e+001	2.743897e-005	-1.737193e-001	2.324237e-005	-1.677768e-001	-2.373270e-005	1.762153e-001	
4.250000e-003	8.860510e+001	-8.442743e+001	2.783695e-005	-1.649174e-001	2.427557e-005	-1.602102e-001	-2.455255e-005	1.685266e-001	
4.500000e-003	9.349449e+001	-8.927339e+001	2.839364e-005	-1.559635e-001	2.504614e-005	-1.523565e-001	-2.531488e-005	1.605859e-001	
4.750000e-003	9.845668e+001	-9.432423e+001	2.878656e-005	-1.468583e-001	2.619782e-005	-1.441966e-001	-2.626203e-005	1.523730e-001	
5.000000e-003	1.037594e+002	-9.956384e+001	2.948958e-005	-1.375787e-001	2.670454e-005	-1.357727e-001	-2.714952e-005	1.438680e-001	
5.250000e-003	1.088646e+002	-1.044295e+002	2.948810e-005	-1.281873e-001	2.719246e-005	-1.271903e-001	-2.746518e-005	1.351714e-001	
5.500000e-003	1.133361e+002	-1.093710e+002	3.011278e-005	-1.186968e-001	2.780763e-005	-1.184324e-001	-2.811188e-005	1.263215e-001	
5.750000e-003	1.187395e+002	-1.146602e+002	3.046577e-005	-1.090505e-001	2.861739e-005	-1.094475e-001	-2.890027e-005	1.172431e-001	
6.000000e-003	1.235535e+002	-1.195046e+002	3.102769e-005	-9.925854e-002	2.900465e-005	-1.002720e-001	-2.959101e-005	1.079292e-001	
6.250000e-003	1.284534e+002	-1.245447e+002	3.130104e-005	-8.933358e-002	2.954413e-005	-9.094895e-002	-3.002990e-005	9.843547e-002	
6.500000e-003	1.334511e+002	-1.294147e+002	3.190631e-005	-7.926872e-002	3.005565e-005	-8.145854e-002	-3.062740e-005	8.877666e-002	
6.750000e-003	1.383542e+002	-1.349984e+002	3.215596e-005	-6.906772e-002	3.071748e-005	-7.178129e-002	-3.113388e-005	7.894206e-002	
7.000000e-003	1.437740e+002	-1.395973e+002	3.239037e-005	-5.878964e-002	3.140420e-005	-6.188930e-002	-3.151046e-005	6.896685e-002	
7.250000e-003	1.489668e+002	-1.448890e+002	3.272090e-005	-4.842160e-002	3.211035e-005	-5.177552e-002	-3.195801e-005	5.886040e-002	
7.500000e-003	1.535995e+002	-1.498078e+002	3.304123e-005	-3.794993e-002	3.263182e-005	-4.146625e-002	-3.216505e-005	4.864973e-002	
7.750000e-003	1.587724e+002	-1.547353e+002	3.319938e-005	-2.740206e-002	3.315951e-005	-3.098993e-002	-3.259032e-005	3.833836e-002	
8.000000e-003	1.639648e+002	-1.598597e+002	3.339067e-005	-1.679855e-002	3.371034e-005	-2.034186e-002	-3.281597e-005	2.792335e-002	
8.250000e-003	1.690067e+002	-1.651087e+002	3.358621e-005	-6.133439e-003	3.422676e-005	-9.523851e-003	-3.312476e-005	1.742323e-002	
8.500000e-003	1.739147e+002	-1.695000e+002	3.392935e-005	4.617446e-003	3.466453e-005	1.446099e-003	-3.331749e-005	6.843254e-003	
8.750000e-003	1.791234e+002	-1.746377e+002	3.397386e-005	1.543006e-002	3.514200e-005	1.256179e-002	-3.362004e-005	-3.815588e-003	
9.000000e-003	1.842890e+002	-1.795271e+002	3.418583e-005	2.628351e-002	3.541829e-005	2.379750e-002	-3.398153e-005	-1.458017e-002	
9.250000e-003	1.893503e+002	-1.841628e+002	3.438086e-005	3.720178e-002	3.546061e-005	3.508395e-002	-3.432525e-005	-2.545705e-002	
9.500000e-003	1.941686e+002	-1.891339e+002	3.490978e-005	4.823532e-002	3.557334e-005	4.639509e-002	-3.450407e-005	-3.641713e-002	
9.750000e-003	1.993158e+002	-1.938233e+002	3.502534e-005	5.937148e-002	3.588577e-005	5.777393e-002	-3.525224e-005	-4.752482e-002	
1.000000e-002	2.039224e+002	-1.992512e+002	3.545880e-005	7.059507e-002	3.584362e-005	6.919581e-002	-3.571013e-005	-5.882456e-002	
1.025000e-002	2.091947e+002	-2.039922e+002	3.585067e-005	8.195008e-002	3.599847e-005	8.063563e-002	-3.618391e-005	-7.027266e-002	
1.050000e-002	2.140287e+002	-2.091283e+002	3.627547e-005	9.343513e-002	3.600889e-005	9.210177e-002	-3.655847e-005	-8.185584e-002	
1.075000e-002	2.190491e+002	-2.141048e+002	3.636316e-005	1.050018e-001	3.609868e-005	1.035839e-001	-3.694179e-005	-9.355970e-002	
1.100000e-002	2.240731e+002	-2.192867e+002	3.647023e-005	1.165995e-001	3.607972e-005	1.150772e-001	-3.709658e-005	-1.053492e-001	
1.125000e-002	2.289405e+002	-2.246047e+002	3.651811e-005	1.282218e-001	3.630971e-005	1.266042e-001	-3.726131e-005	-1.171897e-001	
1.150000e-002	2.340836e+002	-2.295920e+002	3.688997e-005	1.399110e-001	3.606316e-005	1.381286e-001	-3.732791e-005	-1.290669e-001	
1.175000e-002	2.390698e+002	-2.344451e+002	3.649188e-005	1.515960e-001	3.611367e-005	1.496217e-001	-3.747198e-005	-1.409778e-001	
1.200000e-002	2.439592e+002	-2.395547e+002	3.671380e-005	1.632530e-001	3.630535e-005	1.611534e-001	-3.759553e-005	-1.529312e-001	
1.225000e-002	2.488700e+002	-2.447874e+002	3.661030e-005	1.749288e-001	3.641059e-005	1.727324e-001	-3.748645e-005	-1.648869e-001	
1.250000e-002	2.540070e+002	-2.498990e+002	3.628285e-005	1.865360e-001	3.638842e-005	1.843246e-001	-3.706082e-005	-1.767575e-001	
1.275000e-002	2.592006e+002	-2.548530e+002	3.570310e-005	1.979987e-001	3.623084e-005	1.958881e-001	-3.669153e-005	-1.885015e-001	
1.300000e-002	2.637727e+002	-2.597069e+002	3.527220e-005	2.093005e-001	3.587799e-005	2.073704e-001	-3.627484e-005	-2.001203e-001	
1.325000e-002	2.685196e+002	-2.646878e+002	3.489873e-005	2.204742e-001	3.539132e-005	2.187190e-001	-3.586423e-005	-2.116075e-001	
1.350000e-002	2.741899e+002	-2.692011e+002	3.471464e-005	2.315591e-001	3.500608e-005	2.299288e-001	-3.543160e-005	-2.229603e-001	
1.375000e-002	2.791776e+002	-2.746395e+002	3.417208e-005	2.425284e-001	3.470565e-005	2.410294e-001	-3.530103e-005	-2.342235e-001	
1.400000e-002	2.839531e+002	-2.798318e+002	3.378078e-005	2.533489e-001	3.422657e-005	2.520059e-001	-3.485035e-005	-2.453941e-001	
1.425000e-002	2.891120e+002	-2.842308e+002	3.335216e-005	2.640388e-001	3.382060e-005	2.628414e-001	-3.435053e-005	-2.564133e-001	
1.450000e-002	2.942190e+002	-2.893544e+002	3.302012e-005	2.746077e-001	3.357018e-005	2.735724e-001	-3.393093e-005	-2.672861e-001	
1.475000e-002	2.992512e+002	-2.944581e+002	3.237870e-005	2.850215e-001	3.270337e-005	2.841255e-001	-3.335111e-005	-2.779998e-001	
1.500000e-002	3.040560e+002	-2.995243e+002	3.200458e-005	2.952736e-001	3.230266e-005	2.944768e-001	-3.276230e-005	-2.885275e-001	
1.525000e-002	3.092655e+002	-3.044543e+002	3.136233e-005	3.053639e-001	3.196331e-005	3.047103e-001	-3.248685e-005	-2.989174e-001	
1.550000e-002	3.141993e+002	-3.094926e+002	3.106894e-005	3.153052e-001	3.138820e-005	3.147981e-001	-3.176554e-005	-3.091487e-001	
1.575000e-002	3.193140e+002	-3.143368e+002	3.070262e-005	3.251414e-001	3.084167e-005	3.247073e-001	-3.127417e-005	-3.191869e-001	
1.600000e-002	3.240289e+002	-3.191712e+002	2.988829e-005	3.347896e-001	3.032882e-005	3.344478e-001	-3.069373e-005	-3.290544e-001	
1.625000e-002	3.293265e+002	-3.244528e+002	2.931565e-005	3.442170e-001	2.981183e-005	3.440244e-001	-3.019676e-005	-3.387503e-001	
1.650000e-002	3.345444e+002	-3.295652e+002	2.879994e-005	3.534711e-001	2.929666e-005	3.534365e-001	-2.961897e-005	-3.482751e-001	
1.675000e-002	3.392359e+002	-3.339738e+002	2.818245e-005	3.625447e-001	2.880639e-005	3.626886e-001	-2.917368e-005	-3.576370e-001	
1.700000e-002	3.445204e+002	-3.392573e+002	2.798406e-005	3.714884e-001	2.808598e-005	3.717479e-001	-2.877260e-005	-3.668641e-001	
1.725000e-002	3.491963e+002	-3.442216e+002	2.748753e-005	3.803215e-001	2.747873e-005	3.805958e-001	-2.831706e-005	-3.759548e-001	
1.750000e-002	3.542995e+002	-3.492941e+002	2.726265e-005	3.890397e-001	2.695608e-005	3.892638e-001	-2.785864e-005	-3.849000e-001	
1.775000e-002	3.592016e+002	-3.543961e+002	2.682127e-005	3.976518e-001	2.652511e-005	3.977799e-001	-2.771926e-005	-3.937500e-001	
1.800000e-002	3.643421e+002	-3.593513e+002	2.643451e-005	4.061320e-001	2.594685e-005	4.061353e-001	-2.716298e-005	-4.024892e-001	
1.825000e-002	3.689229e+002	-3.643603e+002	2.612009e-005	4.145006e-001	2.543666e-005	4.143174e-001	-2.698230e-005	-4.111111e-001	
1.850000e-002	3.740231e+002	-3.694127e+002	2.593750e-005	4.227900e-001	2.497809e-005	4.223452e-001	-2.647273e-005	-4.196230e-001	
1.875000e-002	3.788936e+002	-3.747539e+002	2.556621e-005	4.309912e-001	2.471370e-005	4.302579e-001	-2.645855e-005	-4.280516e-001	
1.900000e-002	3.837712e+002	-3.798602e+002	2.517725e-005	4.390714e-001	2.443251e-005	4.380837e-001	-2.599010e-005	-4.364033e-001	
1.925000e-002	3.886514e+002	-3.849440e+002	2.490612e-005	4.470464e-001	2.427775e-005	4.458401e-001	-2.565905e-005	-4.446276e-001	
1.950000e-002	3.936248e+002	-3.899596e+002	2.463722e-005	4.549355e-001	2.404290e-005	4.535345e-001	-2.501555e-005	-4.526968e-001	
1.975000e-002	3.987812e+002	-3.950178e+002	2.402400e-005	4.626841e-001	2.395013e-005	4.611767e-001	-2.475978e-005	-4.606229e-001	
2.000000e-002	4.036718e+002	-4.001637e+002	2.367756e-005	4.702799e-001	2.368532e-005	4.687620e-001	-2.427217e-005	-4.684305e-001	
2.025000e-002	4.089306e+002	-4.052582e+002	2.328195e-005	4.777575e-001	2.336183e-005	4.762536e-001	-2.382395e-005	-4.760891e-001	
2.050000e-002	4.141416e+002	-4.099435e+002	2.291226e-005	4.851133e-001	2.305982e-005	4.836455e-001	-2.327105e-005	-4.835883e-001	
2.075000e-002	4.190113e+002	-4.149312e+002	2.249093e-005	4.923431e-001	2.291364e-005	4.909662e-001	-2.306590e-005	-4.909668e-001	
2.100000e-002	4.241534e+002	-4.199992e+002	2.224472e-005	4.994666e-001	2.259625e-005	4.982129e-001	-2.271951e-005	-4.982575e-001	
2.125000e-002	4.289549e+002	-4.247236e+002	2.181921e-005	5.064832e-001	2.233225e-005	5.053672e-001	-2.237155e-005	-5.054376e-001	
2.150000e-002	4.341217e+002	-4.296566e+002	2.162981e-005	5.134018e-001	2.218762e-005	5.124563e-001	-2.186126e-005	-5.124810e-001	
2.175000e-002	4.392165e+002	-4.345731e+002	2.128482e-005	5.202353e-001	2.194934e-005	5.194845e-001	-2.170397e-005	-5.194182e-001	
2.200000e-002	4.441830e+002	-4.393064e+002	2.101914e-005	5.269716e-001	2.151407e-005	5.264054e-001	-2.134704e-005	-5.262734e-001	
2.225000e-002	4.492612e+002	-4.446914e+002	2.081463e-005	5.336331e-001	2.117029e-005	5.332023e-001	-2.103827e-005	-5.330227e-001	
2.250000e-002	4.540984e+002	-4.495432e+002	2.074835e-005	5.402514e-001	2.083126e-005	5.398904e-001	-2.092872e-005	-5.397053e-001	
2.275000e-002	4.588821e+002	-4.543429e+002	2.070027e-005	5.468515e-001	2.062482e-005	5.464917e-001	-2.091894e-005	-5.463690e-001	
2.300000e-002	4.641774e+002	-4.597550e+002	2.043553e-005	5.534017e-001	2.037731e-005	5.530207e-001	-2.081131e-005	-5.530139e-001	
2.325000e-002	4.693054e+002	-4.647831e+002	2.025763e-005	5.598816e-001	2.030831e-005	5.594993e-001	-2.052112e-005	-5.595955e-001	
2.350000e-002	4.736274e+002	-4.699052e+002	2.014566e-005	5.663152e-001	2.013094e-005	5.659387e-001	-2.008329e-005	-5.660612e-001	
2.375000e-002	4.791084e+002	-4.749783e+002	1.975283e-005	5.726685e-001	2.000215e-005	5.723293e-001	-2.002876e-005	-5.724484e-001	
2.400000e-002	4.840857e+002	-4.798017e+002	1.958347e-005	5.789322e-001	1.969049e-005	5.786498e-001	-1.974896e-005	-5.787825e-001	
2.425000e-002	4.887257e+002	-4.847499e+002	1.934997e-005	5.851318e-001	1.948726e-005	5.848883e-001	-1.951307e-005	-5.850344e-001	
2.450000e-002	4.938583e+002	-4.895570e+002	1.923076e-005	5.912752e-001	1.942696e-005	5.910848e-001	-1.924027e-005	-5.912053e-001	
2.475000e-002	4.992246e+002	-4.947330e+002	1.905241e-005	5.973713e-001	1.938876e-005	5.972657e-001	-1.923874e-005	-5.973325e-001	
2.500000e-002	5.020461e+002	-4.971953e+002	1.177919e-005	6.022808e-001	1.210594e-005	6.022808e-001	-1.183617e-005	-6.022808e-001	
2.525000e-002	4.968729e+002	-4.923744e+002	3.726580e-006	6.047498e-001	3.597111e-006	6.047812e-001	-3.733208e-006	-6.047600e-001	
2.550000e-002	4.909970e+002	-4.869161e+002	1.578585e-006	6.055946e-001	1.392575e-006	6.055758e-001	-1.385791e-006	-6.055751e-001	
2.575000e-002	4.860813e+002	-4.816770e+002	2.207998e-007	6.058811e-001	1.641494e-007	6.058237e-001	-3.029830e-007	-6.058440e-001	
2.600000e-002	4.808452e+002	-4.769797e+002	-5.738917e-007	6.058249e-001	-7.386258e-007	6.057322e-001	7.412720e-007	-6.057742e-001	
2.625000e-002	4.757091e+002	-4.716086e+002	-1.323092e-006	6.055228e-001	-1.379717e-006	6.053949e-001	1.409500e-006	-6.054317e-001	
2.650000e-002	4.708777e+002	-4.669968e+002	-1.749835e-006	6.050335e-001	-1.729294e-006	6.048998e-001	1.956195e-006	-6.048958e-001	
2.675000e-002	4.657471e+002	-4.621090e+002	-2.208317e-006	6.044032e-001	-2.419134e-006	6.042392e-001	2.206616e-006	-6.042329e-001	
2.700000e-002	4.607139e+002	-4.569907e+002	-2.567465e-006	6.036428e-001	-2.310612e-006	6.034861e-001	2.566560e-006	-6.034729e-001	
2.725000e-002	4.556754e+002	-4.520224e+002	-2.863110e-006	6.027780e-001	-3.039664e-006	6.026341e-001	2.910839e-006	-6.026007e-001	
2.750000e-002	4.507801e+002	-4.471322e+002	-3.020095e-006	6.018412e-001	-3.058997e-006	6.016630e-001	3.260321e-006	-6.016180e-001	
2.775000e-002	4.459267e+002	-4.419406e+002	-3.461054e-006	6.008092e-001	-3.256912e-006	6.006573e-001	3.350235e-006	-6.005654e-001	
2.800000e-002	4.409584e+002	-4.370438e+002	-3.659798e-006	5.996753e-001	-3.244238e-006	5.996221e-001	3.643753e-006	-5.994517e-001	
2.825000e-002	4.359819e+002	-4.317961e+002	-3.786666e-006	5.984895e-001	-3.777536e-006	5.985040e-001	3.809885e-006	-5.982648e-001	
2.850000e-002	4.310202e+002	-4.266619e+002	-3.954445e-006	5.972569e-001	-3.752042e-006	5.973050e-001	4.100433e-006	-5.970052e-001	
2.875000e-002	4.267958e+002	-4.214042e+002	-4.218789e-006	5.959554e-001	-3.945813e-006	5.960792e-001	4.242738e-006	-5.956767e-001	
2.900000e-002	4.214478e+002	-4.163952e+002	-4.285108e-006	5.946013e-001	-4.108386e-006	5.947967e-001	4.372472e-006	-5.943048e-001	
2.925000e-002	4.163661e+002	-4.114004e+002	-4.430320e-006	5.932135e-001	-4.318978e-006	5.934548e-001	4.488315e-006	-5.928938e-001	
2.950000e-002	4.109959e+002	-4.060764e+002	-4.510040e-006	5.917899e-001	-4.480890e-006	5.920535e-001	4.707591e-006	-5.914295e-001	
2.975000e-002	4.065876e+002	-4.013020e+002	-4.805189e-006	5.903065e-001	-4.714147e-006	5.905893e-001	4.596419e-006	-5.899480e-001	
3.000000e-002	4.010619e+002	-3.960213e+002	-4.751634e-006	5.887848e-001	-4.829292e-006	5.890697e-001	4.820866e-006	-5.884484e-001	
3.025000e-002	3.961995e+002	-3.911452e+002	-4.806043e-006	5.872628e-001	-4.913298e-006	5.875183e-001	4.927011e-006	-5.868962e-001	
3.050000e-002	3.912849e+002	-3.863396e+002	-4.835516e-006	5.857275e-001	-5.023550e-006	5.859360e-001	5.048287e-006	-5.853078e-001	
3.075000e-002	3.858971e+002	-3.808417e+002	-5.170132e-006	5.841343e-001	-5.261446e-006	5.842983e-001	5.090969e-006	-5.836933e-001	
3.100000e-002	3.810348e+002	-3.762627e+002	-5.242183e-006	5.824763e-001	-5.361423e-006	5.826067e-001	5.209002e-006	-5.820531e-001	
3.125000e-002	3.758406e+002	-3.713654e+002	-5.326378e-006	5.807934e-001	-5.487044e-006	5.808793e-001	5.286115e-006	-5.803820e-001	
3.150000e-002	3.708636e+002	-3.663334e+002	-5.342778e-006	5.790945e-001	-5.685740e-006	5.791002e-001	5.527473e-006	-5.786600e-001	
3.175000e-002	3.659919e+002	-3.613434e+002	-5.619566e-006	5.773489e-001	-5.717981e-006	5.772843e-001	5.573379e-006	-5.768924e-001	
3.200000e-002	3.607285e+002	-3.566050e+002	-5.651607e-006	5.755541e-001	-5.748116e-006	5.754585e-001	5.639078e-006	-5.751070e-001	
3.225000e-002	3.557742e+002	-3.516563e+002	-5.794356e-006	5.737315e-001	-5.817533e-006	5.736168e-001	5.824572e-006	-5.732815e-001	
3.250000e-002	3.508817e+002	-3.468466e+002	-5.940921e-006	5.718628e-001	-5.999560e-006	5.717351e-001	6.109230e-006	-5.713813e-001	
3.275000e-002	3.461579e+002	-3.414399e+002	-6.189983e-006	5.699312e-001	-6.069743e-006	5.698132e-001	6.174918e-006	-5.694252e-001	
3.300000e-002	3.411372e+002	-3.366285e+002	-6.298324e-006	5.679426e-001	-6.213406e-006	5.678573e-001	6.384263e-006	-5.674253e-001	
3.325000e-002	3.358677e+002	-3.316310e+002	-6.384469e-006	5.659230e-001	-6.327930e-006	5.658603e-001	6.407875e-006	-5.653883e-001	
3.350000e-002	3.309821e+002	-3.263855e+002	-6.542274e-006	5.638646e-001	-6.437505e-006	5.638276e-001	6.691889e-006	-5.633024e-001	
3.375000e-002	3.259035e+002	-3.216244e+002	-6.664050e-006	5.617617e-001	-6.686033e-006	5.617378e-001	6.560090e-006	-5.611922e-001	
3.400000e-002	3.208524e+002	-3.163567e+002	-6.796703e-006	5.596183e-001	-6.802707e-006	5.595900e-001	6.758956e-006	-5.590713e-001	
3.425000e-002	3.159768e+002	-3.114836e+002	-6.868004e-006	5.574424e-001	-6.797181e-006	5.574244e-001	6.857800e-006	-5.569031e-001	
3.450000e-002	3.107280e+002	-3.064249e+002	-6.947116e-006	5.552425e-001	-6.868041e-006	5.552484e-001	7.120421e-006	-5.546772e-001	
3.475000e-002	3.062325e+002	-3.014361e+002	-7.152795e-006	5.529973e-001	-7.278597e-006	5.529957e-001	7.196993e-006	-5.523974e-001	
