 10.05336712   0.02043000  80.03531375
   38.00     42.00     41.00     51.00     36.00     46.00     35.00     32.00  
   33.00     26.00     30.00     36.00     38.00     50.00     42.00     36.00  
   27.00     35.00     23.00     44.99     40.00     42.00     38.00     39.00  
   39.00     41.00     35.00     37.00     45.00     41.00     37.00     57.00  
   42.00     44.00     50.00     59.00     50.00     50.00     40.00     67.00  
   55.00     43.00     57.00     45.00     62.00     72.00     49.00     54.00  
   54.00     57.00     53.00     65.00     62.00     67.00     71.00     56.00  
   78.00     53.00     80.00     68.00     64.00     65.00     74.00     80.00  
   88.00     84.00     73.00     83.00     67.00     77.00     91.00    100.00  
  104.00    100.00    109.00    129.00    129.00    119.00    172.00    185.00  
  188.00    254.99    301.00    312.00    417.98    448.99    604.97    793.95  
 1000.94   1407.88   1766.10   2391.01   2509.00   2559.01   2639.00   2700.00  
 2548.00   2336.01   2045.02   1713.03   1443.03   1144.05    923.04    806.02  
  584.05    472.03    373.03    297.02    235.00    199.00    168.00    175.00  
  128.00    122.00    112.00    100.00     86.00     81.00     83.00     85.00  
   76.00     71.00     60.00     84.99     76.00     67.00     61.00     58.00  
   60.00     69.00     44.00     46.00     45.00     56.00     54.00     52.00  
   59.00     61.00     64.00     46.00     51.00     66.00     57.00     52.00  
   41.00     59.00     39.00     44.00     31.00     30.00     35.00     40.00  
   38.00     32.00     43.00     43.00     43.00     51.00     55.00     34.01  
   32.00     42.00     35.00     36.00     43.00     39.00     40.00     31.00  
   32.00     37.00     36.00     46.00     40.00     36.00     47.00     41.00  
   40.00     43.00     43.00     37.00     36.00     33.00     30.00     41.00  
   33.00     40.00     37.00     31.00     40.00     36.00     32.00     46.00  
   31.00     38.00     43.00     33.00     46.00     39.00     39.00     34.00  
   42.00     34.00     36.00     33.00     32.00     29.00     33.00     43.00  
   48.00     41.00     25.00     33.00     40.00     30.00     39.00     44.00  
   21.00     38.00     46.00     44.00     44.00     34.00     40.00     38.00  
